City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Saint-Denis,FR,55.18,light rain,48.9167,2.3333,ibis budget Paris Porte de Montmartre
628,Hoorn,NL,52.93,overcast clouds,52.6431,5.0578,Hotel Oostereiland - Gevangenis Hotel
637,Penzance,GB,48.88,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
644,Bedesa,ET,59.92,clear sky,8.9,40.7833,Huzefa Adam
652,Iskilip,TR,41.7,clear sky,40.7353,34.4739,İskilip Öğretmenevi
663,Golpayegan,IR,48.94,light rain,33.4537,50.2884,Golpayegan Tourist Hotel
664,Homer,US,44.76,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
676,Rocha,UY,58.89,few clouds,-34.4833,-54.3333,Hotel Arrarte
679,Embonas,GR,55.53,clear sky,36.2269,27.8564,Hotel Ataviros
681,Sayyan,YE,52.12,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
685,Viedma,AR,56.93,clear sky,-40.8135,-62.9967,Hotel Cristal
690,Pecos,US,44.31,broken clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
693,Tsubame,JP,54.84,overcast clouds,37.65,138.9333,Hotel Route Inn Tsubamesanjo Ekimae
704,Emborion,GR,51.3,overcast clouds,40.4833,21.55,Villa Kastanodasos
